STATION_ID,STATION_NAME,AVG_POP
11,Avondale,0.5974489795918371
22,Brookhaven,0.3709090909090909
12,East Lake,0.37867346938775515
23,Lenox,0.2899999999999999
13,Edgewood,0.4181632653061224
14,Inman Park,0.5589795918367347
15,North Springs,0.7473000000000002
16,Sandy Springs,0.6062000000000001
17,Dunwoody,0.43290000000000006
18,Medical Center,0.6148
19,Lindbergh Center,0.46520000000000017
1,H. E. Holmes,0.41585858585858587
2,West Lake,0.10797979797979798
3,Ashby,0.09853333333333333
4,College Park,0.8794999999999996
5,East Point,0.7190000000000002
6,Lakewood,0.4532000000000002
7,Oakland City,0.5407999999999997
8,West End,0.7603000000000002
9,Indian Creek,0.4635714285714286
20,Doraville,0.8001010101010103
10,Kensington,0.3181632653061223
21,Chamblee,0.5138383838383838
